iid,gender,age,imprace,imprelig,goal,date,go_out,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,exphappy,attr3_1,sinc3_1,fun3_1,intel3_1,amb3_1,pca_1,pca_2
1.0,0.0,21.0,2.0,4.0,2.0,7.0,1.0,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,3.0,6.0,8.0,8.0,8.0,7.0,0.2246012698504369,-1.163711183634579
2.0,0.0,24.0,2.0,5.0,1.0,5.0,1.0,3.0,2.0,7.0,10.0,8.0,6.0,3.0,5.0,8.0,10.0,1.0,9.0,8.0,7.0,8.0,3.0,1.0,4.0,7.0,5.0,10.0,8.0,3.0,1.1553449289912099,0.865121077892635
3.0,0.0,25.0,8.0,4.0,6.0,3.0,1.0,3.0,8.0,7.0,8.0,5.0,5.0,8.0,4.0,5.0,7.0,8.0,7.0,7.0,7.0,5.0,8.0,7.0,4.0,8.0,9.0,8.0,9.0,8.0,-0.023279634672022154,-1.3806850541915543
4.0,0.0,23.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0,1.0,7.0,8.0,9.0,7.0,8.0,0.9525587435895826,1.5286140554047136
5.0,0.0,21.0,8.0,1.0,2.0,4.0,1.0,7.0,4.0,7.0,7.0,6.0,8.0,6.0,6.0,8.0,6.0,8.0,6.0,6.0,3.0,7.0,8.0,3.0,7.0,6.0,3.0,6.0,10.0,8.0,0.30827997671452234,-2.9927585359738416
6.0,0.0,23.0,1.0,1.0,1.0,3.0,1.0,10.0,8.0,9.0,7.0,8.0,7.0,9.0,2.0,6.0,9.0,2.0,5.0,6.0,6.0,4.0,1.0,1.0,4.0,5.0,7.0,8.0,9.0,5.0,2.536552707444601,-2.604576355143025
7.0,0.0,22.0,2.0,4.0,1.0,5.0,1.0,5.0,3.0,4.0,10.0,10.0,10.0,2.0,3.0,8.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,6.0,6.0,5.0,7.0,7.0,-2.7543971655233705,1.664757673205641
8.0,0.0,25.0,1.0,1.0,1.0,5.0,1.0,2.0,2.0,1.0,10.0,9.0,9.0,3.0,2.0,10.0,8.0,10.0,9.0,9.0,6.0,6.0,8.0,6.0,6.0,7.0,4.0,8.0,8.0,8.0,0.107071577418179,1.566460139684243
9.0,0.0,26.0,1.0,1.0,1.0,4.0,1.0,4.0,3.0,1.0,8.0,6.0,7.0,2.0,2.0,10.0,8.0,8.0,10.0,10.0,9.0,9.0,8.0,3.0,6.0,7.0,6.0,10.0,7.0,7.0,-1.1939311334220077,2.1368604460689564
10.0,0.0,26.0,4.0,4.0,2.0,6.0,1.0,9.0,9.0,9.0,7.0,6.0,6.0,7.0,1.0,7.0,8.0,5.0,6.0,7.0,7.0,8.0,7.0,7.0,7.0,6.0,8.0,10.0,6.0,9.0,-0.1521415713923252,-1.7414281807512346
21.0,0.0,21.0,8.0,10.0,6.0,7.0,4.0,10.0,8.0,10.0,5.0,5.0,5.0,2.0,1.0,3.0,7.0,10.0,4.0,7.0,4.0,8.0,5.0,2.0,5.0,5.0,9.0,7.0,9.0,10.0,1.1486387151580342,-3.5450101548427364
22.0,0.0,27.0,1.0,2.0,1.0,6.0,2.0,1.0,2.0,2.0,8.0,8.0,8.0,1.0,2.0,6.0,8.0,8.0,8.0,9.0,7.0,7.0,8.0,8.0,4.0,7.0,8.0,7.0,8.0,7.0,0.6143025225797234,2.2580514320576395
23.0,0.0,21.0,9.0,6.0,1.0,1.0,1.0,2.0,2.0,3.0,9.0,7.0,6.0,6.0,7.0,7.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,3.0,5.0,5.0,8.0,6.0,7.0,8.0,-3.642512895935066,0.9246708914409058
24.0,0.0,27.0,2.0,3.0,2.0,6.0,4.0,10.0,1.0,10.0,9.0,6.0,6.0,10.0,6.0,3.0,6.0,1.0,6.0,9.0,8.0,8.0,6.0,7.0,5.0,7.0,9.0,9.0,8.0,8.0,0.422990749919122,-0.28736453851322435
25.0,0.0,25.0,10.0,2.0,1.0,5.0,2.0,7.0,4.0,7.0,7.0,6.0,3.0,5.0,6.0,8.0,9.0,9.0,7.0,10.0,6.0,8.0,8.0,4.0,5.0,7.0,9.0,7.0,8.0,6.0,-1.490893840648696,-1.0706118906316733
26.0,0.0,23.0,2.0,4.0,1.0,5.0,2.0,9.0,4.0,9.0,7.0,7.0,4.0,6.0,5.0,7.0,5.0,3.0,9.0,9.0,6.0,4.0,5.0,1.0,7.0,7.0,8.0,8.0,8.0,8.0,0.7485949060642424,-1.9161232519176297
27.0,0.0,22.0,1.0,5.0,1.0,6.0,2.0,7.0,6.0,8.0,8.0,7.0,6.0,8.0,7.0,8.0,8.0,5.0,5.0,5.0,5.0,7.0,7.0,8.0,5.0,6.0,6.0,7.0,7.0,7.0,0.6318387240633164,-2.1591302226536544
