iid,gender,age,imprace,imprelig,goal,date,go_out,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,exphappy,attr3_1,sinc3_1,fun3_1,intel3_1,amb3_1,pca_1,pca_2
11.0,1.0,27.0,7.0,3.0,1.0,5.0,4.0,8.0,7.0,2.0,6.0,7.0,5.0,5.0,5.0,4.0,9.0,2.0,4.0,8.0,7.0,8.0,5.0,1.0,7.0,8.0,9.0,7.0,8.0,5.0,0.5181329311850515,0.3519588161217103
12.0,1.0,22.0,1.0,1.0,1.0,1.0,1.0,9.0,7.0,9.0,8.0,7.0,6.0,3.0,3.0,5.0,6.0,6.0,4.0,7.0,7.0,9.0,5.0,5.0,7.0,9.0,9.0,9.0,10.0,9.0,0.04506067950639784,-1.6418345624563264
13.0,1.0,22.0,3.0,5.0,2.0,7.0,1.0,7.0,8.0,2.0,9.0,5.0,6.0,4.0,7.0,7.0,6.0,8.0,10.0,8.0,9.0,9.0,8.0,1.0,3.0,4.0,7.0,8.0,8.0,3.0,-0.8979062954817112,-1.1637610684196849
14.0,1.0,23.0,1.0,1.0,2.0,4.0,1.0,10.0,6.0,8.0,8.0,3.0,3.0,10.0,8.0,8.0,6.0,7.0,3.0,10.0,6.0,8.0,6.0,1.0,8.0,9.0,9.0,9.0,9.0,9.0,0.8962311013121581,-3.246724366576964
15.0,1.0,24.0,3.0,1.0,1.0,4.0,1.0,9.0,7.0,9.0,7.0,4.0,3.0,6.0,7.0,9.0,8.0,6.0,9.0,9.0,6.0,7.0,2.0,1.0,5.0,7.0,7.0,7.0,9.0,9.0,0.608790480068446,-1.7265774188286545
16.0,1.0,25.0,9.0,2.0,1.0,5.0,1.0,7.0,2.0,6.0,7.0,7.0,7.0,5.0,5.0,5.0,8.0,3.0,7.0,8.0,7.0,8.0,6.0,1.0,7.0,6.0,6.0,8.0,8.0,6.0,-0.5152134803692333,0.5584706803729096
17.0,1.0,30.0,1.0,1.0,3.0,3.0,2.0,8.0,2.0,9.0,7.0,7.0,5.0,4.0,2.0,6.0,4.0,2.0,7.0,9.0,7.0,7.0,2.0,2.0,4.0,7.0,7.0,6.0,8.0,4.0,0.6025425593315951,0.8720143637779154
18.0,1.0,27.0,8.0,8.0,1.0,6.0,1.0,5.0,5.0,5.0,9.0,4.0,3.0,4.0,4.0,2.0,6.0,9.0,3.0,9.0,3.0,6.0,2.0,1.0,5.0,6.0,8.0,6.0,8.0,9.0,3.150554543770984,0.3764975413963011
19.0,1.0,28.0,1.0,1.0,4.0,1.0,1.0,10.0,10.0,10.0,10.0,5.0,5.0,6.0,7.0,9.0,8.0,1.0,1.0,7.0,7.0,7.0,7.0,10.0,10.0,10.0,6.0,10.0,10.0,10.0,0.3188615561985194,-3.0774414607914666
20.0,1.0,24.0,1.0,1.0,1.0,1.0,1.0,10.0,10.0,10.0,10.0,9.0,9.0,4.0,10.0,10.0,8.0,3.0,8.0,8.0,6.0,6.0,5.0,10.0,6.0,7.0,7.0,10.0,10.0,10.0,-1.9795252284208151,-2.51858969364149
40.0,1.0,25.0,9.0,6.0,2.0,7.0,7.0,4.0,9.0,3.0,7.0,7.0,8.0,5.0,7.0,9.0,7.0,5.0,5.0,8.0,8.0,10.0,4.0,2.0,3.0,3.0,10.0,8.0,9.0,5.0,-0.5119518380527469,-0.17079497501031377
41.0,1.0,30.0,1.0,1.0,2.0,6.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,10.0,5.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,7.0,5.0,7.0,5.0,8.0,5.0,1.2934269948345174,-0.45047767884092904
42.0,1.0,23.0,1.0,6.0,2.0,7.0,4.0,1.0,1.0,7.0,5.0,3.0,3.0,3.0,1.0,1.0,9.0,8.0,5.0,7.0,2.0,5.0,2.0,1.0,6.0,6.0,9.0,6.0,8.0,4.0,3.400872964174612,2.304991573111576
